Ethernet Port Traffic Performance Statistics,Ethernet Port Traffic Performance Statistics,2022-05-10 00:00:00,89        
DeviceID,DeviceName,ResourceName,CollectionTime,GranularityPeriod,The upstream discarded packets,The downstream discarded packets,Tx Rate,Rx Rate,Total Number of TX Octets,Total Number of RX Octets,Tx Bandwidth Occupancy,Rx Bandwidth Occupancy,Tx Octets During Collection Period,Rx Octets During Collection Period,Total Number of Rx Frames,Total Number of Tx Frames
7340092,LIM_FEDI_OLT_1,LIM_FEDI_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.00,0.00,170,7231,0.00,0.00,,,,
7340092,LIM_FEDI_OLT_1,LIM_FEDI_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.00,0.00,9663,7170,0.00,0.00,,,,
7340059,LIM_LURI_OLT_1,LIM_LURI_OLT_1/Frame:0/Slot:3/Port:0,2022-05-10 00:00:00,5,,,5.85,139.88,13490373,232661658,0.06,1.40,,,,
7340059,LIM_LURI_OLT_1,LIM_LURI_OLT_1/Frame:0/Slot:4/Port:0,2022-05-10 00:00:00,5,,,7.57,134.70,14891437,233059678,0.08,1.35,,,,
7340086,LIM_SACA_OLT_1,LIM_SACA_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.14,0.00,592062,5877955,0.00,0.00,,,,
7340086,LIM_SACA_OLT_1,LIM_SACA_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.34,8.91,192954,861180,0.00,0.09,,,,
7340061,LIM_COLO_OLT_1,LIM_COLO_OLT_1/Frame:0/Slot:3/Port:0,2022-05-10 00:00:00,5,,,0.14,2.31,250235,3929525,0.00,0.02,,,,
7340061,LIM_COLO_OLT_1,LIM_COLO_OLT_1/Frame:0/Slot:4/Port:0,2022-05-10 00:00:00,5,,,0.48,23.67,375673,3873934,0.00,0.24,,,,
7340071,LIM_HUAN_OLT_1,LIM_HUAN_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.41,0.01,856777,260650,0.00,0.00,,,,
7340071,LIM_HUAN_OLT_1,LIM_HUAN_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,1.50,14.78,1480750,12142594,0.02,0.15,,,,
7340093,LIM_GAVI_OLT_1,LIM_GAVI_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.27,21.62,267617,9200030,0.00,0.22,,,,
7340093,LIM_GAVI_OLT_1,LIM_GAVI_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.31,0.00,522803,4129,0.00,0.00,,,,
7340072,LIM_RION_OLT_1,LIM_RION_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.33,0.54,3226596,12132150,0.00,0.01,,,,
7340072,LIM_RION_OLT_1,LIM_RION_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.21,0.50,531771,1930129,0.00,0.00,,,,
7340082,LIM_ORUE_OLT1,LIM_ORUE_OLT1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.28,0.01,838730,382700,0.00,0.00,,,,
7340082,LIM_ORUE_OLT1,LIM_ORUE_OLT1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.01,3.08,550992,9094311,0.00,0.03,,,,
7340081,LIM_INTI_OLT_1,LIM_INTI_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.00,0.00,6313,7694,0.00,0.00,,,,
7340081,LIM_INTI_OLT_1,LIM_INTI_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.03,0.02,5644,58374,0.00,0.00,,,,
7340032,GPON_ACC_SIE_01,GPON_ACC_SIE_01/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.00,0.02,6967,37174,0.00,0.00,,,,
7340032,GPON_ACC_SIE_01,GPON_ACC_SIE_01/Frame:0/Slot:8/Port:1,2022-05-10 00:00:00,5,,,0.68,6.00,4564684,71397634,0.01,0.06,,,,
7340032,GPON_ACC_SIE_01,GPON_ACC_SIE_01/Frame:0/Slot:9/Port:1,2022-05-10 00:00:00,5,,,44.68,54.54,40941550,69396793,0.45,0.55,,,,
